epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.347,1.24585,5.73281,0.8637,0.45552,0.30936,0.20021,0.12968,1.03106,2.23871,0.83664,0.00332549,0.00332549,0.00332549
2,324.768,1.22772,2.06761,0.85691,0.45223,0.35138,0.29948,0.19385,1.07513,1.67353,0.85109,0.0065929,0.0065929,0.0065929
3,477.319,1.2941,1.86831,0.87157,0.42335,0.29139,0.23794,0.15339,1.12654,1.83931,0.85952,0.00979431,0.00979431,0.00979431
4,634.442,1.2977,1.82647,0.87766,0.43065,0.37102,0.3077,0.20148,1.10756,1.7265,0.8626,0.009703,0.009703,0.009703
5,784.549,1.24733,1.69927,0.87532,0.5366,0.35703,0.33739,0.2267,1.06341,1.50984,0.85972,0.009604,0.009604,0.009604
6,937.688,1.18288,1.60658,0.85966,0.44582,0.35236,0.30098,0.20008,1.03774,1.73658,0.85224,0.009505,0.009505,0.009505
7,1087.28,1.15051,1.54312,0.86154,0.56205,0.39499,0.39101,0.26943,0.96636,1.40504,0.83908,0.009406,0.009406,0.009406
8,1237.39,1.11083,1.47136,0.8503,0.45295,0.41236,0.37028,0.25903,0.96414,1.44016,0.83905,0.009307,0.009307,0.009307
9,1388.03,1.08103,1.42187,0.8494,0.55083,0.40847,0.41326,0.28886,0.95689,1.30498,0.83656,0.009208,0.009208,0.009208
10,1538.7,1.08015,1.37615,0.84704,0.58713,0.42992,0.43989,0.30719,0.94407,1.26469,0.83669,0.009109,0.009109,0.009109
11,1689.85,1.07902,1.35093,0.84769,0.57593,0.42534,0.45117,0.32261,0.90713,1.22422,0.82968,0.00901,0.00901,0.00901
12,1838.99,1.06436,1.31804,0.84465,0.50089,0.53121,0.48857,0.35043,0.9083,1.14789,0.83281,0.008911,0.008911,0.008911
13,1989.02,1.03977,1.27962,0.83588,0.54371,0.4672,0.47903,0.34362,0.89169,1.16312,0.82677,0.008812,0.008812,0.008812
14,2141.57,1.02824,1.25858,0.83861,0.55792,0.51417,0.51616,0.37646,0.8726,1.07924,0.82247,0.008713,0.008713,0.008713
15,2295.69,1.01863,1.24699,0.83921,0.55301,0.5081,0.50947,0.36785,0.89611,1.10508,0.82767,0.008614,0.008614,0.008614
16,2452.91,1.01304,1.21835,0.83748,0.50292,0.53632,0.51622,0.3748,0.87469,1.08695,0.82539,0.008515,0.008515,0.008515
17,2606.63,1.0082,1.20112,0.83623,0.58881,0.50035,0.54347,0.39751,0.86447,1.03902,0.82254,0.008416,0.008416,0.008416
18,2767.58,0.99513,1.16286,0.83354,0.60424,0.51394,0.54976,0.40317,0.84332,1.01417,0.82002,0.008317,0.008317,0.008317
19,2922.38,0.98719,1.14721,0.83284,0.58181,0.51048,0.53392,0.39172,0.85768,1.03011,0.82326,0.008218,0.008218,0.008218
20,3077.12,0.98482,1.13601,0.83143,0.60742,0.53895,0.57267,0.41834,0.83975,0.98424,0.81862,0.008119,0.008119,0.008119
21,3233.05,0.96899,1.1123,0.83483,0.59445,0.54104,0.58382,0.4312,0.84327,0.96314,0.82002,0.00802,0.00802,0.00802
22,3387.36,0.97886,1.10493,0.83345,0.64291,0.56293,0.58727,0.43443,0.84202,0.96076,0.82134,0.007921,0.007921,0.007921
23,3540.89,0.96044,1.06609,0.83392,0.6448,0.56486,0.61343,0.45402,0.82925,0.9197,0.81714,0.007822,0.007822,0.007822
24,3697.34,0.95796,1.06531,0.83016,0.65453,0.54912,0.60042,0.44655,0.82473,0.92038,0.81622,0.007723,0.007723,0.007723
25,3854.36,0.95412,1.04228,0.83093,0.63116,0.56365,0.60584,0.45105,0.82335,0.90367,0.81672,0.007624,0.007624,0.007624
26,4007.44,0.93896,1.02989,0.82857,0.61084,0.57895,0.61963,0.46181,0.8189,0.88651,0.81353,0.007525,0.007525,0.007525
27,4159.36,0.94698,1.01621,0.82378,0.62293,0.57436,0.61889,0.45824,0.81744,0.87727,0.81457,0.007426,0.007426,0.007426
28,4312.63,0.93687,0.98929,0.82919,0.66471,0.57841,0.63959,0.47826,0.8162,0.83955,0.81456,0.007327,0.007327,0.007327
29,4463.85,0.94385,0.99308,0.82934,0.67,0.59474,0.64472,0.48301,0.81544,0.83964,0.81595,0.007228,0.007228,0.007228
30,4616.25,0.93167,0.98424,0.8292,0.66674,0.57592,0.64278,0.48447,0.79888,0.82944,0.81238,0.007129,0.007129,0.007129
31,4772.55,0.92322,0.9647,0.82579,0.65334,0.60547,0.65841,0.49228,0.79674,0.79835,0.81226,0.00703,0.00703,0.00703
32,4924.1,0.9354,0.94903,0.82523,0.63787,0.6076,0.66998,0.50343,0.79779,0.80404,0.81379,0.006931,0.006931,0.006931
33,5076.84,0.92787,0.95903,0.82336,0.67189,0.61313,0.67868,0.51144,0.79464,0.78022,0.81237,0.006832,0.006832,0.006832
34,5229.27,0.93174,0.94471,0.82494,0.70782,0.58397,0.66675,0.50137,0.79326,0.78996,0.81285,0.006733,0.006733,0.006733
35,5382.61,0.90343,0.90599,0.82016,0.70681,0.60135,0.67663,0.51053,0.7907,0.76706,0.81041,0.006634,0.006634,0.006634
36,5531.79,0.90942,0.90827,0.82624,0.70589,0.63306,0.6929,0.52533,0.7869,0.74916,0.81142,0.006535,0.006535,0.006535
37,5682.48,0.90062,0.89932,0.82255,0.67727,0.62597,0.68658,0.52093,0.78314,0.74278,0.8104,0.006436,0.006436,0.006436
38,5831.28,0.9162,0.87363,0.82106,0.70507,0.61907,0.69017,0.523,0.77856,0.74831,0.81046,0.006337,0.006337,0.006337
39,5981.15,0.89517,0.87943,0.81962,0.70154,0.63538,0.71105,0.53721,0.77822,0.71525,0.80932,0.006238,0.006238,0.006238
40,6129.39,0.88954,0.84494,0.82282,0.72477,0.62252,0.70006,0.52901,0.77795,0.72584,0.80921,0.006139,0.006139,0.006139
41,6278.25,0.89117,0.8453,0.81996,0.73618,0.62991,0.71588,0.54314,0.78002,0.70463,0.80967,0.00604,0.00604,0.00604
42,6427.45,0.88762,0.84922,0.82074,0.70925,0.64302,0.71755,0.54911,0.76733,0.70102,0.80932,0.005941,0.005941,0.005941
43,6576.54,0.88418,0.84903,0.81853,0.77799,0.61444,0.71594,0.54542,0.76554,0.70626,0.80941,0.005842,0.005842,0.005842
44,6723.82,0.88086,0.82709,0.81995,0.75661,0.63574,0.72688,0.55613,0.77107,0.67972,0.80794,0.005743,0.005743,0.005743
45,6871.48,0.88523,0.81731,0.82432,0.71197,0.65031,0.71833,0.54606,0.7703,0.69918,0.80918,0.005644,0.005644,0.005644
46,7019.58,0.87766,0.8077,0.8186,0.76788,0.63787,0.73193,0.55568,0.76506,0.67299,0.80798,0.005545,0.005545,0.005545
47,7168.01,0.87719,0.78875,0.81627,0.77075,0.64477,0.73646,0.56169,0.76696,0.66948,0.80834,0.005446,0.005446,0.005446
48,7318.86,0.87026,0.79043,0.8168,0.78541,0.64536,0.73817,0.56179,0.76332,0.6625,0.80879,0.005347,0.005347,0.005347
49,7468.78,0.87433,0.77761,0.81934,0.74457,0.66175,0.73796,0.56147,0.76194,0.66347,0.80855,0.005248,0.005248,0.005248
50,7619.66,0.87169,0.7857,0.81696,0.73311,0.66617,0.74359,0.56511,0.75944,0.65823,0.80764,0.005149,0.005149,0.005149
51,7773.34,0.87536,0.78286,0.81685,0.77517,0.66148,0.74766,0.57054,0.75363,0.64473,0.80667,0.00505,0.00505,0.00505
52,7923.28,0.87444,0.7751,0.8199,0.75911,0.66559,0.74333,0.56722,0.75413,0.65063,0.80686,0.004951,0.004951,0.004951
53,8071.47,0.87301,0.76409,0.8184,0.77168,0.66698,0.75495,0.57992,0.74898,0.6319,0.80521,0.004852,0.004852,0.004852
54,8221.77,0.85795,0.74096,0.81997,0.76244,0.687,0.76826,0.58885,0.74952,0.61916,0.8052,0.004753,0.004753,0.004753
55,8368.53,0.86018,0.75104,0.82032,0.76979,0.68742,0.76368,0.58558,0.75265,0.61642,0.80626,0.004654,0.004654,0.004654
56,8516.03,0.85525,0.73538,0.81921,0.78843,0.6794,0.76396,0.5869,0.74836,0.61524,0.80571,0.004555,0.004555,0.004555
57,8662.5,0.8534,0.73268,0.81637,0.77499,0.66581,0.7628,0.58386,0.74596,0.61039,0.80514,0.004456,0.004456,0.004456
58,8809.79,0.84883,0.7337,0.81577,0.79021,0.67645,0.77075,0.59154,0.74573,0.5977,0.80519,0.004357,0.004357,0.004357
59,8955.81,0.85347,0.71635,0.81507,0.79335,0.67401,0.77108,0.59353,0.74353,0.60213,0.80614,0.004258,0.004258,0.004258
60,9102.53,0.84751,0.71931,0.81188,0.79674,0.69195,0.77479,0.59871,0.7369,0.58944,0.80451,0.004159,0.004159,0.004159
61,9249.95,0.83742,0.69679,0.81351,0.7883,0.7022,0.7843,0.6036,0.74029,0.58402,0.80422,0.00406,0.00406,0.00406
62,9398.19,0.84348,0.70384,0.81484,0.77948,0.7035,0.78503,0.60274,0.73825,0.58549,0.80455,0.003961,0.003961,0.003961
63,9545.72,0.83277,0.68644,0.81283,0.7816,0.70265,0.78225,0.6018,0.73994,0.5825,0.80371,0.003862,0.003862,0.003862
64,9693.56,0.84133,0.68427,0.81232,0.78131,0.69691,0.78593,0.6064,0.73764,0.58774,0.80358,0.003763,0.003763,0.003763
65,9840.89,0.841,0.67366,0.81257,0.8023,0.69479,0.78401,0.60486,0.73504,0.57788,0.80418,0.003664,0.003664,0.003664
66,10004,0.81854,0.66373,0.81227,0.80155,0.69874,0.78904,0.6114,0.7346,0.57271,0.80354,0.003565,0.003565,0.003565
67,10186,0.8269,0.65815,0.81138,0.80198,0.70595,0.79117,0.61008,0.73541,0.56912,0.80352,0.003466,0.003466,0.003466
68,10350.8,0.82809,0.65493,0.81174,0.81006,0.69156,0.79048,0.61001,0.73411,0.56816,0.80316,0.003367,0.003367,0.003367
